"CardID" "R" "F" "M"
"C0100028230" 578 27 531.75
"C0100028512" 442 3 347
"C0100028868" 568 2 248
"C0100029112" 474 4 412.99
"C0100029328" 390 3 297.99
"C0100029479" 448 5 264.96
"C0100029548" 418 3 777.99
"C0100030162" 411 3 272
"C0100031092" 529 3 334.99
"C0100031383" 509 4 253.97
"C0100031493" 400 2 438
"C0100031634" 451 5 620.95
"C0100031814" 503 2 208
"C0100031928" 505 4 229.97
"C0100032238" 425 3 867.99
"C0100032938" 416 3 352.99
"C0100033194" 459 3 327
"C0100033609" 394 1 49
"C0100033676" 414 2 458
"C0100033717" 482 2 588
"C0100033864" 425 4 210.99
"C0100033895" 444 3 167.99
"C0100034115" 388 4 334.98
"C0100034690" 634 2 178
"C0100034731" 428 2 308
"C0100034757" 607 3 133.98
"C0100034825" 492 4 428.93
"C0100034977" 399 1 84
"C0100035241" 694 2 198
"C0100035412" 458 2 598
"C0100035738" 436 2 449.99
"C0100036008" 468 4 336.99
"C0100036143" 547 4 517.98
"C0100036192" 484 2 408.99
"C0100036380" 475 5 139.46
"C0100036677" 578 2 213
"C0100036915" 564 2 278.99
"C0100037034" 420 2 423
"C0100037472" 472 15 976.89
"C0100037658" 423 1 189
"C0100037745" 539 3 96.48
"C0100037767" 497 3 202.99
"C0100037812" 480 3 175.98
"C0100038179" 462 3 427
"C0100038720" 574 1 139.99
"C0100039107" 401 6 218.47
"C0100039329" 577 1 449
"C0100039612" 481 4 172.94
"C0100039696" 488 3 357
"C0100039837" 434 4 221.94
"C0100040254" 422 2 433
"C0100040305" 545 3 407
"C0100040510" 398 28 782.71
"C0100040807" 497 4 138.97
"C0100041032" 447 3 377.99
"C0100041438" 388 15 935.89
"C0100041742" 405 3 432.99
"C0100042285" 749 1 69
"C0100042400" 479 1 34.99
"C0100042407" 439 5 532.98
"C0100042446" 673 2 258
"C0100042563" 410 2 143.99
"C0100042882" 577 1 169
"C0100043022" 500 4 253.97
"C0100043040" 420 3 342.99
"C0100043364" 524 8 1015.88
"C0100043861" 468 2 538
"C0100044359" 431 2 278
"C0100044375" 559 4 74.46
"C0100044662" 511 3 1167
"C0100044680" 434 4 303.97
"C0100045044" 494 5 628.96
"C0100045140" 425 3 317.99
"C0100045315" 432 5 218.95
"C0100045649" 452 1 129
"C0100045668" 428 2 588
"C0100045728" 436 2 328.99
"C0100045876" 396 10 457.42
"C0100046511" 513 2 508
"C0100046905" 393 3 477.99
"C0100047465" 491 3 121.99
"C0100047987" 498 3 177.99
"C0100048089" 479 3 611.98
"C0100048125" 594 27 396.24
"C0100048383" 463 6 347.97
"C0100048487" 471 5 358.96
"C0100048835" 559 2 123.99
"C0100049638" 506 3 210.98
"C0100050373" 492 8 653.98
"C0100050607" 439 3 160.99
"C0100050881" 418 5 348.92
"C0100051040" 392 1 59
"C0100051340" 416 5 406.98
"C0100051612" 443 3 281.99
"C0100052332" 441 2 1098
"C0100052526" 545 3 207.95
"C0100053026" 388 12 245.84
"C0100053395" 413 4 764.98
"C0100053859" 452 3 183.98
"C0100054367" 396 29 645.25
"C0100055079" 392 25 820.74
"C0100055325" 503 4 268.93
"C0100055488" 513 3 327
"C0100056052" 395 3 797.99
"C0100057309" 394 19 1093.36
"C0100057366" 392 4 586
"C0100057771" 406 27 644.74
"C0100058149" 459 2 308
"C0100058242" 510 4 302.98
"C0100058324" 434 3 132.99
"C0100058331" 469 3 262.95
"C0100058669" 536 4 332.49
"C0100058764" 597 15 771.37
"C0100059062" 446 4 721.95
"C0100059120" 393 2 352.99
"C0100059381" 539 2 353
"C0100059847" 428 26 2707.84
"C0100060328" 525 3 486.99
"C0100060678" 458 3 328.94
"C0100061403" 551 5 348.97
"C0100062063" 429 2 488
"C0100062438" 433 3 447.99
"C0100062708" 446 3 272
"C0100062987" 416 4 178.94
"C0100063070" 416 2 68.99
"C0100063500" 517 4 506.99
"C0100063688" 480 5 633.97
"C0100063896" 574 1 99
"C0100063987" 438 3 291.98
"C0100064025" 433 2 258
"C0100064120" 452 1 449
"C0100064550" 437 15 491.36
"C0100064668" 597 1 349
"C0100065000" 411 5 602.98
"C0100065103" 408 3 197.98
"C0100065859" 434 4 271.95
"C0100065937" 532 3 307.99
"C0100066267" 425 5 296.47
"C0100066398" 388 2 688
"C0100067022" 433 2 208
"C0100067185" 399 27 1953.69
"C0100067220" 390 2 1698
"C0100068223" 390 3 467
"C0100068252" 464 3 917.99
"C0100068498" 580 25 419.68
"C0100068611" 455 3 163.94
"C0100068810" 518 3 273.98
"C0100068929" 460 4 436.99
"C0100069107" 680 1 99
"C0100069117" 396 2 128.99
"C0100069385" 437 3 202.99
"C0100069823" 456 3 217.99
"C0100070019" 497 3 238.94
"C0100070283" 408 3 557.99
"C0100070619" 456 3 377.99
"C0100070993" 393 15 603.37
"C0100071668" 411 5 267.93
"C0100072173" 405 5 284.97
"C0100072553" 441 4 785.99
"C0100072753" 454 2 398.99
"C0100073195" 422 3 557
"C0100073474" 584 1 249
"C0100073984" 402 21 1369.82
"C0100074117" 421 22 356.3
"C0100074327" 425 4 116.96
"C0100074417" 433 4 347.94
"C0100074662" 610 1 219
"C0100074745" 527 10 383.94
"C0100074945" 711 2 148.99
"C0100074960" 584 25 275.26
"C0100075034" 390 29 718.68
"C0100076563" 462 2 478
"C0100077249" 411 25 883.16
"C0100077250" 401 4 412.98
"C0100077260" 392 2 368.99
"C0100077892" 388 13 907.4
"C0100078220" 419 18 626.79
"C0100078423" 721 2 213.99
"C0100078580" 389 5 129.42
"C0100078632" 396 4 296.95
"C0100079000" 388 2 283.99
"C0100079071" 398 3 368.98
"C0100079273" 518 3 537.99
"C0100079386" 415 1 349
"C0100079764" 574 1 89
"C0100080648" 606 3 92.98
"C0100080797" 488 2 538
"C0100080982" 501 4 446.99
"C0100081708" 511 4 367.47
"C0100081813" 514 5 377.93
"C0100082574" 467 4 826.99
"C0100082777" 393 1 179
"C0100082867" 409 21 1233.29
"C0100082954" 388 5 403.98
"C0100082993" 594 3 93.98
"C0100083064" 391 29 421.22
"C0100083335" 403 3 277
"C0100083605" 594 1 149.99
"C0100083651" 593 25 423.8
"C0100083693" 388 6 434.97
"C0100083838" 474 4 212.94
"C0100083912" 413 4 387.9
"C0100083968" 489 4 181.93
"C0100084786" 588 17 394.8
"C0100085226" 458 3 312.99
"C0100085593" 516 6 355.98
"C0100085641" 399 24 1371.86
"C0100085688" 393 10 326.43
"C0100085823" 419 2 478
"C0100085967" 411 4 401
"C0100086490" 416 29 676.74
"C0100086961" 491 1 89
"C0100086983" 408 22 932.25
"C0100087047" 402 5 393.93
"C0100087126" 460 4 396.99
"C0100087259" 449 2 173.99
"C0100087579" 419 2 238.99
"C0100087614" 400 18 1244.87
"C0100087748" 501 5 436.99
"C0100088157" 491 3 567
"C0100088416" 484 4 291
"C0100088501" 642 1 29.99
"C0100088603" 391 15 611.33
"C0100088710" 579 21 369.27
"C0100088728" 390 3 372
"C0100088904" 537 4 390.98
"C0100089783" 619 2 114.99
"C0100089846" 394 30 854.17
"C0100090144" 664 2 208
"C0100090282" 508 3 212
"C0100090676" 401 4 398.98
"C0100090786" 676 1 9.99
"C0100090967" 399 3 462
"C0100091092" 620 2 258
"C0100091615" 409 4 656
"C0100091782" 406 18 989.81
"C0100091847" 404 4 78.96
"C0100091892" 482 4 707.98
"C0100092102" 393 4 216.48
"C0100092282" 594 2 157.49
"C0100092658" 413 24 912.27
"C0100093154" 401 3 212.99
"C0100093620" 393 3 647
"C0100094748" 516 6 295.98
"C0100094978" 416 5 385.99
"C0100095192" 644 1 199
"C0100095597" 421 3 131.97
"C0100095697" 407 4 114.93
"C0100095820" 408 2 52.99
"C0100095870" 394 22 678.8
"C0100097016" 406 13 511.83
"C0100097185" 546 2 348
"C0100099715" 413 5 306.97
"C0100099759" 408 8 1153.98
"C0100100256" 398 3 212.99
"C0100100411" 581 5 474.42
"C0100101238" 398 22 167.74
"C0100101308" 399 2 168
"C0100101446" 402 18 542.84
"C0100102024" 587 28 484.75
"C0100102067" 420 28 211.72
"C0100102353" 408 3 267
"C0100102508" 412 25 1540.33
"C0100102911" 398 13 1025.87
"C0100103390" 391 29 1210.65
"C0100103464" 389 5 124.92
"C0100103516" 582 1 24.99
"C0100103624" 429 4 546.99
"C0100103670" 424 6 1204.99
"C0100104360" 582 7 515.97
"C0100104609" 398 4 163.97
"C0100104783" 404 2 318
"C0100105240" 393 22 741.26
"C0100105794" 466 4 103.97
"C0100106118" 418 29 579.23
"C0100106295" 501 5 399.98
"C0100106900" 555 4 646.99
"C0100107248" 388 2 618
"C0100107514" 399 27 908.69
"C0100107880" 455 2 223
"C0100108032" 422 4 182.98
"C0100108574" 431 4 1046.43
"C0100108852" 448 1 49
"C0100109460" 393 28 2567.78
"C0100109564" 398 5 441.9
"C0100109701" 482 2 39.98
"C0100109850" 413 21 796.32
"C0100109889" 398 1 189
"C0100110150" 586 2 118.95
"C0100110245" 535 3 487.99
"C0100111041" 396 2 193
"C0100111492" 449 3 597.99
"C0100111549" 465 4 392.99
"C0100111640" 402 10 275.37
"C0100111980" 569 2 159.98
"C0100112684" 451 4 411.93
"C0100112906" 478 5 431.94
"C0100113395" 443 2 508
"C0100113616" 405 6 408.92
"C0100113705" 525 4 356.99
"C0100113789" 413 2 288
"C0100113887" 389 29 942.19
"C0100114158" 408 2 648
"C0100114248" 393 5 444.99
"C0100114487" 537 4 1007.94
"C0100114827" 392 4 326
"C0100114828" 442 4 421.99
"C0100115071" 540 4 497.98
"C0100115072" 492 5 501.97
"C0100115245" 394 5 319.99
"C0100115812" 432 2 178.99
"C0100115882" 432 3 252.95
"C0100116898" 395 25 1456.29
"C0100117226" 432 4 252.94
"C0100117330" 426 1 99.99
"C0100117644" 422 2 308
"C0100117804" 504 3 482.95
"C0100118006" 397 25 807.29
"C0100118035" 415 3 327.99
"C0100118078" 612 1 179
"C0100118157" 393 4 622.99
"C0100118454" 423 5 263.96
"C0100118773" 460 5 320.92
"C0100118829" 480 5 357.89
"C0100119247" 504 3 247
"C0100119429" 408 2 368.99
"C0100119574" 489 5 340.42
"C0100120001" 388 3 512.98
"C0100120253" 703 3 179.97
"C0100120343" 409 2 538.99
"C0100121324" 516 6 687.98
"C0100121439" 389 2 218
"C0100121855" 460 3 227.99
"C0100122073" 544 8 645.96
"C0100122230" 394 2 258.99
"C0100122574" 511 3 194.93
"C0100122763" 418 18 945.26
"C0100122837" 396 3 797
"C0100122849" 398 4 252.89
"C0100123447" 391 30 1166.78
"C0100124048" 461 2 62.99
"C0100124073" 464 26 1692.76
"C0100124336" 389 4 352.98
"C0100124719" 476 4 307.98
"C0100124914" 600 3 231.98
"C0100125071" 389 3 398.98
"C0100125423" 571 3 172.99
"C0100125853" 430 2 218
"C0100125930" 442 5 91.96
"C0100126148" 407 7 1404.97
"C0100126391" 534 1 89
"C0100126477" 391 6 58.94
"C0100126931" 461 4 361
"C0100127232" 580 1 279
"C0100127259" 644 1 279
"C0100127302" 465 29 1366.27
"C0100127416" 434 4 506
"C0100127761" 517 4 421.99
"C0100128436" 585 1 69
"C0100128838" 413 6 344.42
"C0100128877" 405 2 248
"C0100129953" 532 4 214.96
"C0100130024" 419 2 388
"C0100130378" 555 2 398.99
"C0100130982" 457 4 317.98
"C0100131348" 511 3 217.99
"C0100131384" 410 5 517.97
"C0100131884" 413 2 368
"C0100131916" 544 3 442.95
"C0100131999" 392 4 943.99
"C0100132070" 499 1 159
"C0100132227" 401 3 567
"C0100132313" 582 2 29.98
"C0100132560" 413 1 89
"C0100132621" 397 26 865.27
"C0100132901" 585 3 264.98
"C0100132978" 400 6 940.98
"C0100133007" 585 7 242.95
"C0100133344" 501 3 195.94
"C0100133390" 395 28 1173.26
"C0100133449" 430 1 189
"C0100133561" 405 2 123.99
"C0100133584" 447 3 212.99
"C0100133869" 430 4 468.98
"C0100133975" 581 1 129
"C0100134174" 431 20 543.82
"C0100134279" 428 1 639
"C0100134404" 575 4 441
"C0100134480" 413 2 543
"C0100134659" 408 3 322.95
"C0100134716" 451 3 332
"C0100134815" 390 7 44.93
"C0100135502" 389 4 941.99
"C0100136348" 494 5 630.97
"C0100136527" 547 3 322.99
"C0100136596" 538 3 527
"C0100136612" 504 8 793.96
"C0100137022" 455 5 600.99
"C0100137395" 509 4 488.93
"C0100137600" 452 1 119.99
"C0100137960" 446 3 637
"C0100138567" 512 3 617
"C0100138868" 408 3 287.99
"C0100138957" 507 4 237.97
"C0100138972" 452 3 372.98
"C0100139277" 399 3 252.99
"C0100139360" 407 28 1271.72
"C0100139400" 400 29 726.22
"C0100139484" 573 2 88.99
"C0100140015" 440 4 263.97
"C0100140196" 576 7 224.95
"C0100140207" 527 4 129.46
"C0100141427" 439 2 478
"C0100141635" 633 1 69
"C0100141719" 505 2 418
"C0100141793" 431 5 159.96
"C0100141847" 422 1 79
"C0100142087" 450 2 348
"C0100142120" 510 2 348.99
"C0100142192" 459 2 628
"C0100142422" 418 4 356.95
"C0100142472" 408 1 179
"C0100142737" 420 26 951.29
"C0100142858" 538 4 466
"C0100142917" 395 5 585.99
"C0100143421" 481 4 1053.99
"C0100143466" 445 1 299
"C0100144128" 440 3 347.99
"C0100144374" 417 5 371.98
"C0100144664" 403 28 983.78
"C0100144757" 426 22 1077.85
"C0100144828" 605 1 179
"C0100145568" 478 5 265.93
"C0100145679" 450 4 371.95
"C0100146051" 588 1 89
"C0100146278" 449 2 508
"C0100147099" 430 2 678
"C0100147200" 429 3 367.99
"C0100147340" 404 5 276.46
"C0100147759" 388 5 851.94
"C0100147881" 455 4 339.99
"C0100148129" 407 18 102.32
"C0100148785" 644 1 69
"C0100148878" 643 1 279
"C0100149505" 462 3 1097
"C0100149639" 410 5 890.99
"C0100149670" 577 14 486.39
"C0100150185" 456 3 292.99
"C0100150239" 462 5 735.99
"C0100150286" 532 4 457.98
"C0100150537" 446 2 458.99
"C0100150950" 389 23 1869.83
"C0100151175" 689 1 199
"C0100151449" 500 2 338
"C0100151615" 435 4 291.93
"C0100151786" 427 3 502.95
"C0100151835" 408 3 178.98
"C0100151976" 417 2 178.99
"C0100152215" 397 1 349
"C0100152580" 519 2 78.99
"C0100153371" 547 4 416.99
"C0100153570" 400 16 205.85
"C0100153687" 437 5 209.96
"C0100153750" 665 1 59.99
"C0100154455" 661 1 69
"C0100154614" 395 13 975.4
"C0100154629" 388 10 671.89
"C0100154658" 388 2 428
"C0100154713" 543 2 408
"C0100155093" 450 3 457
"C0100155224" 454 3 1027
"C0100155375" 490 4 441.99
"C0100155803" 474 6 582.98
"C0100155907" 440 2 213
"C0100156038" 389 2 318
"C0100156309" 406 28 1062.73
"C0100156449" 521 3 247.99
"C0100156741" 394 3 287.99
"C0100156934" 411 4 253.89
"C0100156970" 566 4 486.99
"C0100157320" 473 7 972.91
"C0100157391" 394 2 778
"C0100157885" 575 1 124
"C0100157975" 422 29 2582.68
"C0100158058" 576 17 458.32
"C0100158196" 454 9 1074.92
"C0100158395" 574 16 389.81
"C0100158599" 400 2 84.49
"C0100158704" 451 2 548
"C0100158722" 520 2 798
"C0100158850" 571 2 458
"C0100158927" 587 3 125.98
"C0100158984" 577 1 149.99
"C0100159416" 510 8 515.96
"C0100159626" 434 6 159.92
"C0100159653" 689 1 349
"C0100159790" 408 1 159
"C0100160143" 480 5 350.99
"C0100160216" 436 1 1049
"C0100160504" 424 2 61.94
"C0100160556" 481 4 226.99
"C0100160628" 493 2 508
"C0100160838" 483 2 158.99
"C0100161182" 401 2 218
"C0100161382" 396 22 1811.77
"C0100161775" 511 4 312.94
"C0100161808" 406 4 186.48
"C0100161967" 409 5 1151.49
"C0100162122" 412 4 194.96
"C0100162193" 522 3 884.99
"C0100162268" 517 4 257.99
"C0100162336" 499 3 231.98
"C0100162795" 539 4 239.98
"C0100162811" 496 3 232.98
"C0100163043" 390 3 1337
"C0100163136" 585 26 483.25
"C0100163412" 442 2 528
"C0100163494" 522 5 351.98
"C0100163551" 512 4 230.48
"C0100164425" 399 3 257.94
"C0100164843" 468 4 377.94
"C0100165500" 396 20 890.34
"C0100165559" 399 3 200.94
"C0100166115" 400 13 912.93
"C0100166183" 579 18 547.83
"C0100166567" 403 4 316.99
"C0100167210" 391 3 267
"C0100167267" 491 3 297
"C0100167445" 451 2 348
"C0100167717" 419 13 646.89
"C0100167847" 392 2 1398
"C0100168020" 546 3 677
"C0100168153" 418 3 114.98
"C0100168209" 404 3 192.99
"C0100168348" 391 22 619.3
"C0100168910" 389 28 928.71
"C0100169151" 440 23 732.81
"C0100169274" 415 3 372.99
"C0100169447" 582 19 234.32
"C0100169568" 388 4 475.44
"C0100169654" 395 5 404.48
"C0100169707" 393 2 238
"C0100169819" 535 3 412.99
"C0100169907" 453 3 165.97
"C0100170507" 581 2 398
"C0100170777" 392 3 169.97
"C0100170971" 539 3 535.49
"C0100171431" 557 5 439.98
"C0100171511" 579 22 399.25
"C0100171636" 443 3 257.95
"C0100171930" 529 4 261.97
"C0100171993" 402 2 368
"C0100172416" 394 2 548
"C0100172663" 470 2 129.98
"C0100172735" 453 5 337.93
"C0100173119" 421 2 268
"C0100173452" 536 3 407.99
"C0100173494" 706 3 118.98
"C0100173612" 439 11 858.41
"C0100173838" 446 4 445.99
"C0100174129" 451 2 428
"C0100174316" 664 2 191.99
"C0100174700" 430 4 237.97
"C0100174775" 401 6 494.97
"C0100175096" 480 5 950.95
"C0100175154" 595 9 576.94
"C0100175646" 580 1 949
"C0100175719" 388 30 1489.25
"C0100175833" 456 2 178
"C0100176580" 572 25 655.28
"C0100177468" 463 6 1016.97
"C0100177589" 448 4 466
"C0100177895" 588 1 19.99
"C0100178052" 396 1 139
"C0100178169" 468 3 487
"C0100178540" 388 3 148.98
"C0100178565" 418 3 282.99
"C0100178884" 577 2 95.99
"C0100178931" 563 2 938
"C0100179542" 475 14 966.89
"C0100179571" 407 23 919.32
"C0100179831" 613 1 129
"C0100180076" 428 3 282.95
"C0100180100" 684 1 29.99
"C0100180554" 434 5 163.96
"C0100180847" 471 2 203.99
"C0100180956" 511 4 397.98
"C0100180990" 658 1 99.99
"C0100181209" 531 4 311.99
"C0100181514" 389 3 454.98
"C0100181550" 414 2 238
"C0100181819" 475 2 478
"C0100181832" 449 4 366.99
"C0100182139" 546 2 448
"C0100182254" 521 3 427
"C0100182478" 408 3 577.95
"C0100182769" 391 18 1725.84
"C0100183635" 403 3 418.98
"C0100184693" 452 3 392
"C0100184709" 483 2 218
"C0100184837" 503 5 190.46
"C0100185956" 510 3 223.98
"C0100185978" 401 27 931.76
"C0100186024" 391 3 213.94
"C0100186094" 534 3 310.99
"C0100186288" 417 29 745.62
"C0100186488" 436 2 378
"C0100186917" 468 28 700.75
"C0100187021" 395 4 683.99
"C0100187500" 442 4 451.98
"C0100187683" 400 3 227.99
"C0100188122" 430 3 382
"C0100188991" 441 1 159
"C0100189543" 600 1 17.49
"C0100189936" 669 3 157.97
"C0100190309" 397 21 518.81
"C0100190581" 531 4 531
"C0100191205" 410 1 219
"C0100191515" 678 1 69
"C0100191683" 448 2 248
"C0100191761" 403 2 58.99
"C0100191791" 400 2 278
"C0100191864" 573 20 483.28
"C0100192651" 477 4 50.92
"C0100192811" 649 1 149
"C0100193108" 416 2 104.98
"C0100193394" 486 3 138.98
"C0100193664" 547 2 262.99
"C0100193949" 472 2 428
"C0100194010" 537 2 1178
"C0100194062" 566 4 313.99
"C0100194351" 389 3 413.98
"C0100194772" 518 2 188
"C0100195288" 517 8 615.96
"C0100195580" 661 3 133.98
"C0100195854" 579 15 477.83
"C0100196285" 583 1 94
"C0100196309" 642 2 99.94
"C0100196694" 391 4 916
"C0100197285" 394 6 1377.99
"C0100197527" 394 28 538.6
"C0100198028" 500 4 384.98
"C0100198045" 458 5 170.97
"C0100198422" 625 3 252.95
"C0100198751" 544 3 457.99
"C0100198938" 497 2 498
"C0100199017" 683 2 158.95
"C0100199348" 573 1 299
"C0100199890" 408 2 428
"C0100201626" 685 1 349
"C0100200237" 388 4 14.96
"C0100200362" 504 1 219
"C0100200679" 578 11 453.88
"C0100200779" 581 1 349
"C0100200842" 398 4 546.99
"C0100200880" 652 1 159
"C0100200897" 545 2 1298
"C0100200936" 423 13 129.87
"C0100201318" 433 4 245.47
"C0100201521" 604 2 74.9
"C0100201947" 395 21 382.81
"C0100202212" 507 3 287.99
"C0100202279" 572 2 153
"C0100202489" 415 6 442.97
"C0100202591" 572 2 338.99
"C0100202614" 494 4 176.43
"C0100202952" 480 26 1146.77
"C0100203124" 546 2 1078
"C0100203416" 647 1 219
"C0100203586" 448 3 577
"C0100203664" 404 3 193.49
"C0100203781" 523 5 1202.93
"C0100203869" 485 3 363.94
"C0100204012" 483 3 244.97
"C0100204154" 601 2 119.98
"C0100204303" 393 20 450.31
"C0100204629" 396 3 297
"C0100205054" 468 3 378.98
"C0100205222" 413 4 506.99
"C0100205678" 392 5 267.92
"C0100205733" 398 27 853.19
"C0100206045" 400 2 158.98
"C0100206070" 419 5 398.92
"C0100206089" 466 5 212.93
"C0100206172" 416 4 168.93
"C0100206255" 430 4 452.98
"C0100206577" 505 1 449
"C0100206626" 442 3 53.97
"C0100206710" 487 10 622.95
"C0100206736" 443 6 261.91
"C0100206808" 614 2 99.99
"C0100206831" 397 5 506.98
"C0100206853" 518 3 717
"C0100207155" 510 4 434.94
"C0100207312" 520 4 376.99
"C0100207393" 441 10 240.87
"C0100207635" 441 2 478
"C0100207839" 490 3 657
"C0100208242" 413 14 980.38
"C0100208286" 634 1 64
"C0100208425" 467 2 8.98
"C0100208834" 483 4 479.99
"C0100208926" 557 3 282.95
"C0100209083" 478 2 198
"C0100209549" 752 1 149
"C0100209609" 515 3 532.95
"C0100209637" 441 1 599
"C0100209692" 478 4 157.98
"C0100210235" 391 5 368.96
"C0100210305" 397 3 306.98
"C0100210344" 506 3 208.94
"C0100210650" 454 3 618.98
"C0100210810" 608 3 150.99
"C0100210901" 681 1 149.99
"C0100211199" 394 2 198.99
"C0100211635" 578 12 415.89
"C0100211702" 468 2 118.99
"C0100211906" 484 4 746
"C0100211957" 437 4 637.98
"C0100212233" 447 4 430.48
"C0100212560" 471 5 371.9
"C0100212808" 403 4 792.98
"C0100213186" 411 26 808.77
"C0100214000" 401 29 644.6
"C0100214699" 483 5 428.98
"C0100214862" 655 2 158
"C0100214932" 407 20 1457.88
"C0100215146" 478 4 248.97
"C0100215671" 393 28 856.22
"C0100216118" 572 15 668.37
"C0100216364" 452 2 678
"C0100216386" 401 29 885.76
"C0100216462" 400 4 617.94
"C0100217149" 572 30 707.22
"C0100217640" 558 4 671
"C0100217792" 410 5 1006.94
"C0100217808" 624 2 368
"C0100218138" 584 2 88.95
"C0100218189" 404 6 582.96
"C0100218358" 482 3 462.95
"C0100218608" 408 23 935.23
"C0100218826" 611 3 242.94
"C0100218976" 482 1 179
"C0100219499" 407 4 182.98
"C0100219550" 414 2 183.99
"C0100219638" 429 5 250.97
"C0100220135" 485 4 606.99
"C0100220238" 523 2 478
"C0100220336" 509 3 257
"C0100220588" 606 1 149
"C0100220707" 731 1 339
"C0100220789" 411 21 1038.24
"C0100221042" 524 6 607.98
"C0100221093" 727 2 155.99
"C0100221614" 392 20 351.31
"C0100221929" 573 21 548.8
"C0100222203" 410 1 119
"C0100222252" 390 5 409.94
"C0100222612" 502 1 149
"C0100223063" 458 2 318
"C0100223195" 394 5 561.94
"C0100223261" 403 4 123.97
"C0100223714" 430 3 227.99
"C0100223798" 475 3 382.99
"C0100223889" 421 3 163.94
"C0100224117" 452 2 1198
"C0100224567" 419 6 200.91
"C0100224741" 390 4 211.98
"C0100225255" 421 2 448
"C0100225343" 404 2 163
"C0100225477" 475 2 238.95
"C0100225503" 448 2 128.95
"C0100225579" 565 2 388
"C0100225672" 601 3 312.99
"C0100225741" 659 3 204.99
"C0100225883" 682 2 173
"C0100226140" 446 4 1410.99
"C0100226263" 574 28 550.72
"C0100226412" 406 21 1093.82
"C0100226507" 396 1 59.99
"C0100226521" 430 3 302.99
"C0100226588" 653 1 139
"C0100226698" 421 10 1123.43
"C0100227043" 525 2 378
"C0100227066" 402 4 268.97
"C0100227429" 446 3 272.99
"C0100229020" 461 1 199
"C0100229138" 592 1 109
"C0100229168" 405 1 99.99
"C0100229289" 439 3 143.94
"C0100229574" 643 3 234.94
